iso,year0,horizon,dev0,ry0,g_house,g_rent,r_house,r_eq,r_bond,infl,tercile
GBR,1987,15,0.1203835500119248,0.033133868128061295,0.03249060695970701,0.03016976895969705,0.0719197128373279,0.05989726534009665,0.06816525813310204,0.03000374471146494,2.0
GBR,1988,15,0.254835892366688,0.02837751805782318,0.030511727417606826,0.02794323009842073,0.06979302463801407,0.06687681246659882,0.06658867655916345,0.02839966418404649,2.0
GBR,1989,15,0.333820675537416,0.02559477649629116,0.029665735127804155,0.026024737554684894,0.06882236246224616,0.05645596035764622,0.0682304436725163,0.025817881041561463,2.0
GBR,1990,15,0.191215535757995,0.029044046998023987,0.03758760929176491,0.02371485455184574,0.07667454515241401,0.08096491857714327,0.07177742030386502,0.022605779650187063,2.0
GBR,1991,15,0.04915258738162587,0.03309038281440735,0.04529357103496477,0.021124699088101953,0.0839820983008468,0.081882518598547,0.06288143921084965,0.01922966141628435,1.0
GBR,1992,15,-0.08319339003129311,0.03753597289323807,0.05493213628966944,0.018759394335824072,0.09289503480653005,0.07375880625821085,0.05557449037385531,0.017955083200664523,0.0
GBR,1993,15,-0.18289082564726034,0.04140767827630043,0.053322348156803534,0.01545302319336974,0.08999512992024616,0.031169441878184045,0.050817299995956855,0.018676702926324174,0.0
GBR,1994,15,-0.2121896725748651,0.0426698662340641,0.04421085021890818,0.013010461473660494,0.07948118000300153,0.05296727258871403,0.05734206574361367,0.018801014788102366,0.0
GBR,1995,15,-0.25801933967328816,0.04475013166666031,0.047168688880702976,0.009833233538898237,0.08122965044015262,0.04729630141869734,0.05230533591261155,0.019224358783709317,0.0
GBR,1996,15,-0.31914830538117656,0.04784025251865387,0.04599244699412239,0.007160755008660064,0.07857838929765193,0.03331455039963349,0.05752631840870448,0.02058081909028786,0.0
GBR,1997,15,-0.28230190735586813,0.04667443782091141,0.041480929288965414,0.006471364027722844,0.0726345093773324,0.025983841962148535,0.048611108243776124,0.02124837858896922,0.0
GBR,1998,15,-0.22402133599920138,0.04486054182052612,0.038351030393632045,0.005408309123692325,0.06822801186201,0.029324527316973548,0.030240184141312243,0.0219206255043225,0.0
GBR,1999,15,-0.169507399065834,0.04316258057951927,0.03877141686514741,0.003551699679593194,0.06883398500182336,0.0154942042596804,0.043093950031684036,0.022009537013573555,0.0
GBR,2000,15,-0.06736288819209202,0.039264824241399765,0.034559367510865587,0.0033828491034550976,0.06392739051075957,0.020904981516721932,0.03766588957204586,0.02149647391253473,0.0
GBR,2001,15,-0.0009297871748623621,0.03686463087797165,0.03292743725578186,0.0028171769328448554,0.06132512677621582,0.040889844819883114,0.0408116448241127,0.021109422988459636,1.0
GBR,2002,15,0.1350056877735235,0.032034099102020264,0.02357605491494845,0.0009468357193516759,0.05113172480414874,0.06683564195841618,0.03564944022669936,0.022071855667231688,2.0
GBR,2003,15,0.2860735449495242,0.02733488753437996,0.01321973669177482,-0.00022882166150883364,0.040118876311374896,0.046036744776122074,0.0349607686946205,0.022833143072803486,2.0
GBR,2004,15,0.3953651053880316,0.02427028678357601,0.004075532420035979,-0.0012807841846786208,0.03064731987225544,0.04922211103902896,0.03405463548091703,0.02313963934890384,2.0
